module idx,bit-flip idx,module name,weight idx,weight before attack,weight after attack,validation mcc,mcc drop,trial seed
9,2,classifier,[0 0],-0.024756772443652153,-1.0,0.6417351393140422,0.20414945031809195,4175
9,3,classifier,[0 1],-0.0031495008151978254,-1.0,0.6417351393140422,0.20414945031809195,4175
9,4,classifier,[0 2],-0.017876502126455307,-1.0,0.6417351393140422,0.20414945031809195,4175
9,5,classifier,[0 3],0.04214570298790932,0.0,0.6417351393140422,0.20414945031809195,4175
9,6,classifier,[0 4],0.033763062208890915,0.0,0.6417351393140422,0.20414945031809195,4175
9,7,classifier,[0 5],0.003827229142189026,0.0,0.6417351393140422,0.20414945031809195,4175
9,8,classifier,[0 6],-0.05239497497677803,-1.0,0.6417351393140422,0.20414945031809195,4175
9,9,classifier,[0 7],0.0359312929213047,0.0,0.6417351393140422,0.20414945031809195,4175
9,10,classifier,[0 8],0.0274747796356678,0.0,0.6417351393140422,0.20414945031809195,4175
9,11,classifier,[0 9],0.024676799774169922,0.0,0.6417351393140422,0.20414945031809195,4175
9,12,classifier,[ 0 10],0.0528859905898571,0.0,0.6417351393140422,0.20414945031809195,4175
9,13,classifier,[ 0 11],-0.03249209374189377,-1.0,0.6417351393140422,0.20414945031809195,4175
9,14,classifier,[ 0 12],0.06182331219315529,0.0,0.6417351393140422,0.20414945031809195,4175
9,15,classifier,[ 0 13],-0.045742858201265335,-1.0,0.6417351393140422,0.20414945031809195,4175
9,16,classifier,[ 0 14],0.017873605713248253,0.0,0.6417351393140422,0.20414945031809195,4175
9,17,classifier,[ 0 15],-0.01760745607316494,-1.0,0.6417351393140422,0.20414945031809195,4175
9,18,classifier,[ 0 16],-0.05684300512075424,-1.0,0.6417351393140422,0.20414945031809195,4175
9,19,classifier,[ 0 17],-0.03238457441329956,-1.0,0.6417351393140422,0.20414945031809195,4175
9,20,classifier,[ 0 18],-0.0008071766351349652,0.0,0.6417351393140422,0.20414945031809195,4175
9,21,classifier,[ 0 19],-0.059078820049762726,-1.0,0.6417351393140422,0.20414945031809195,4175
9,22,classifier,[ 0 20],0.0010166459251195192,0.0,0.6417351393140422,0.20414945031809195,4175
9,23,classifier,[ 0 21],0.024268073961138725,0.0,0.6417351393140422,0.20414945031809195,4175
9,24,classifier,[ 0 22],0.034913502633571625,0.0,0.6417351393140422,0.20414945031809195,4175
9,25,classifier,[ 0 23],-0.05384145677089691,-1.0,0.6417351393140422,0.20414945031809195,4175
