module idx,bit-flip idx,module name,weight idx,weight before attack,weight after attack,validation mcc,mcc drop,trial seed
9,2,classifier,[0 0],-0.022460708394646645,-1.0,0.7969727803263115,0.03521037013629602,498
9,3,classifier,[0 1],0.02836318500339985,0.0,0.7969727803263115,0.03521037013629602,498
9,4,classifier,[0 2],0.049666810780763626,0.0,0.7969727803263115,0.03521037013629602,498
9,5,classifier,[0 3],-0.037814605981111526,-1.0,0.7969727803263115,0.03521037013629602,498
9,6,classifier,[0 4],-0.001999892760068178,-1.0,0.7969727803263115,0.03521037013629602,498
9,7,classifier,[0 5],0.015873586758971214,0.0,0.7969727803263115,0.03521037013629602,498
9,8,classifier,[0 6],-0.020934609696269035,-1.0,0.7969727803263115,0.03521037013629602,498
9,9,classifier,[0 7],-0.025844480842351913,-1.0,0.7969727803263115,0.03521037013629602,498
9,10,classifier,[0 8],-0.023185741156339645,-1.0,0.7969727803263115,0.03521037013629602,498
9,11,classifier,[0 9],-0.056707821786403656,-1.0,0.7969727803263115,0.03521037013629602,498
9,12,classifier,[ 0 10],0.027667799964547157,0.0,0.7969727803263115,0.03521037013629602,498
9,13,classifier,[ 0 11],-0.009254176169633865,-1.0,0.7969727803263115,0.03521037013629602,498
9,14,classifier,[ 0 12],-0.025176679715514183,-1.0,0.7969727803263115,0.03521037013629602,498
9,15,classifier,[ 0 13],0.052122510969638824,0.0,0.7969727803263115,0.03521037013629602,498
9,16,classifier,[ 0 14],-0.05876357480883598,-1.0,0.7969727803263115,0.03521037013629602,498
9,17,classifier,[ 0 15],0.037071797996759415,0.0,0.7969727803263115,0.03521037013629602,498
9,18,classifier,[ 0 16],0.04499579221010208,0.0,0.7969727803263115,0.03521037013629602,498
9,19,classifier,[ 0 17],-0.05850701779127121,-1.0,0.7969727803263115,0.03521037013629602,498
9,20,classifier,[ 0 18],0.02868679165840149,0.0,0.7969727803263115,0.03521037013629602,498
9,21,classifier,[ 0 19],0.03776392713189125,0.0,0.7969727803263115,0.03521037013629602,498
9,22,classifier,[ 0 20],-0.020710427314043045,-1.0,0.7969727803263115,0.03521037013629602,498
9,23,classifier,[ 0 21],-0.021120551973581314,-1.0,0.7969727803263115,0.03521037013629602,498
9,24,classifier,[ 0 22],-0.020905204117298126,-1.0,0.7969727803263115,0.03521037013629602,498
9,25,classifier,[ 0 23],0.04064813256263733,0.0,0.7969727803263115,0.03521037013629602,498
9,26,classifier,[ 0 24],0.05271504074335098,0.0,0.7969727803263115,0.03521037013629602,498
9,27,classifier,[ 0 25],-0.056469954550266266,-1.0,0.7969727803263115,0.03521037013629602,498
9,28,classifier,[ 0 26],0.03337641432881355,0.0,0.7969727803263115,0.03521037013629602,498
9,29,classifier,[ 0 27],0.0495787113904953,0.0,0.7969727803263115,0.03521037013629602,498
9,30,classifier,[ 0 28],-0.04709704965353012,-1.0,0.7969727803263115,0.03521037013629602,498
9,31,classifier,[ 0 29],0.03638248145580292,0.0,0.7969727803263115,0.03521037013629602,498
9,32,classifier,[ 0 30],-0.010496476665139198,-1.0,0.7969727803263115,0.03521037013629602,498
9,33,classifier,[ 0 31],-0.04651332274079323,-1.0,0.7969727803263115,0.03521037013629602,498
9,34,classifier,[ 0 32],-0.004636919591575861,-1.0,0.7969727803263115,0.03521037013629602,498
9,35,classifier,[ 0 33],0.009758786298334599,0.0,0.7969727803263115,0.03521037013629602,498
9,36,classifier,[ 0 34],-0.030519364401698112,-1.0,0.7969727803263115,0.03521037013629602,498
9,37,classifier,[ 0 35],0.006509784609079361,0.0,0.7969727803263115,0.03521037013629602,498
9,38,classifier,[ 0 36],-0.009087009355425835,-1.0,0.7969727803263115,0.03521037013629602,498
9,39,classifier,[ 0 37],0.058047931641340256,0.0,0.7969727803263115,0.03521037013629602,498
9,40,classifier,[ 0 38],0.01756957173347473,0.0,0.7969727803263115,0.03521037013629602,498
9,41,classifier,[ 0 39],0.031006494536995888,0.0,0.7969727803263115,0.03521037013629602,498
9,42,classifier,[ 0 40],0.00661696121096611,0.0,0.7969727803263115,0.03521037013629602,498
9,43,classifier,[ 0 41],0.013573202304542065,0.0,0.7969727803263115,0.03521037013629602,498
9,44,classifier,[ 0 42],0.007837180979549885,0.0,0.7969727803263115,0.03521037013629602,498
9,45,classifier,[ 0 43],-0.06207043305039406,-1.0,0.7969727803263115,0.03521037013629602,498
9,46,classifier,[ 0 44],-0.00074939732439816,0.0,0.7969727803263115,0.03521037013629602,498
9,47,classifier,[ 0 45],0.011182489804923534,0.0,0.7969727803263115,0.03521037013629602,498
9,48,classifier,[ 0 46],-0.04728420823812485,-1.0,0.7969727803263115,0.03521037013629602,498
9,49,classifier,[ 0 47],0.0386684350669384,0.0,0.7969727803263115,0.03521037013629602,498
9,50,classifier,[ 0 48],-0.010777872055768967,-1.0,0.7969727803263115,0.03521037013629602,498
9,51,classifier,[ 0 49],-0.0105208158493042,-1.0,0.7969727803263115,0.03521037013629602,498
9,52,classifier,[ 0 50],0.06426023691892624,0.0,0.7969727803263115,0.03521037013629602,498
9,53,classifier,[ 0 51],-0.027836155146360397,-1.0,0.7969727803263115,0.03521037013629602,498
9,54,classifier,[ 0 52],-0.04456377401947975,-1.0,0.7969727803263115,0.03521037013629602,498
9,55,classifier,[ 0 53],0.03751073032617569,0.0,0.7969727803263115,0.03521037013629602,498
9,56,classifier,[ 0 54],-0.0011875331401824951,0.0,0.7969727803263115,0.03521037013629602,498
9,57,classifier,[ 0 55],-0.024529261514544487,-1.0,0.7969727803263115,0.03521037013629602,498
9,58,classifier,[ 0 56],-0.05521894618868828,-1.0,0.7969727803263115,0.03521037013629602,498
9,59,classifier,[ 0 57],-0.04560551047325134,-1.0,0.7969727803263115,0.03521037013629602,498
9,60,classifier,[ 0 58],0.06132268160581589,0.0,0.7969727803263115,0.03521037013629602,498
9,61,classifier,[ 0 59],-0.04966023564338684,-1.0,0.7969727803263115,0.03521037013629602,498
