,PBS,RandomFlip,PBS_to_RandomFlip,RandomFlip_to_PBS
0,0.5020872065131621,0.0,0.8723703886163267,0.7585627984524639
1,0.5390461268765627,0.0,0.026223510031672,0.0048433226299645
2,-0.0044020278129192,0.0,0.0461826271555186,-0.0006070705002385
3,0.0217419888132267,0.5091315733212791,9.352110540505888e-05,0.0650458263212818
4,-0.2478092176273887,0.0,-0.0395294006181516,-0.0843059121092136
5,0.0004710053532966,0.0,0.0065012997928581,-0.0299804399129603
6,0.1806290575473701,0.0,-0.003188221966662,0.0281515257246616
7,-0.0020255218944198,0.0,-0.0003124485828178,0.0496313596105917
8,0.0009411362713102,0.0204454967111876,-0.0001417119400004,0.0511269222832
9,0.0,0.0,-0.0092011934752226,-0.1229075810586412
10,0.0075087108675255,0.0,-0.0143581910258055,0.0043798905466776
11,-0.1044976399481137,0.0,0.0113382544434042,0.1562227101394922
12,0.0847511640873877,0.0,0.0001025218060528,-0.0530887720831572
13,0.0099742568291903,0.0,-0.0029540283058642,0.0851028336729659
14,0.0002015507358337,0.0,0.0085144032159926,0.0006862937982413
15,0.001709313459253,-0.0020802155901822,-0.0090602994502899,-0.0002979626365516
16,-0.0005628539868899,8.005483122663914e-05,-0.0002058099852935,0.0076128282484158
17,-0.0115818283846092,0.0,-0.0009090076722181,-0.0042446304799028
18,0.0126558051834972,0.0,-0.0018594419174161,-0.087698661643965
19,-0.0016390137451224,0.0,-2.994422262307672e-06,0.0269364983511899
