module idx,bit-flip idx,module name,weight idx,weight before attack,weight after attack,validation mcc,mcc drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop,trial seed
module_idx,2,loss,19444,"tensor(32., device='cuda:0')","tensor(32., device='cuda:0')",0.4793698468062014,0.5194810053228877,0.07325,0.9265857142857142,0.6038552380952381,0.3845769282145335,0.3435160329868131,0.6443644694002287,3722
module_idx,4,loss,9391,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",0.4794145386607889,-4.469185458749747e-05,0.07325,0.0,0.6041295238095239,-0.0002742857142857824,0.3436996581551593,-0.00018362516834619091,3722
module_idx,6,loss,9220,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.23864617334967464,0.24076836531111429,0.024735714285714284,0.04851428571428571,0.35379240580200094,0.25033711800752295,0.14027311671133771,0.20342654144382158,3722
module_idx,8,loss,1546,"tensor(-128., device='cuda:0')","tensor(-128., device='cuda:0')",0.06499710608681793,0.17364906726285673,0.004285714285714286,0.02045,0.030802299280160105,0.32299010652184085,0.02762403819268131,0.11264907851865641,3722
module_idx,10,loss,35855,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",0.032127050448492823,0.0328700556383251,0.0014928571428571428,0.002792857142857143,0.02121173841001275,0.009590560870147355,0.009211133314185292,0.018412904878496016,3722
module_idx,12,loss,4414,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.012575119352973951,0.019551931095518872,0.0006928571428571428,0.0007999999999999999,0.018166396712803977,0.0030453416972087734,0.003558810194922989,0.005652323119262303,3722
module_idx,14,loss,40857,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.0009125960780491636,0.011662523274924787,0.00027142857142857144,0.0004214285714285714,0.016481786150357582,0.0016846105624463946,0.00040128013851454956,0.0031575300564084395,3722
module_idx,16,loss,41695,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",0.00044453084679308455,0.00046806523125607905,0.00025714285714285715,1.4285714285714292e-05,0.016405986394557825,7.57997557997575e-05,0.00025978353987509377,0.00014149659863945578,3722
module_idx,18,loss,3704,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.3997385093641273,-0.3992939785173342,0.04849285714285714,-0.048235714285714285,0.2111136732561431,-0.1947076868615853,0.2241955494617459,-0.2239357659218708,3722
module_idx,20,loss,596,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.00022174685717607585,0.39951676250695123,0.00025,0.04824285714285714,0.016373333333333333,0.19474033992280979,0.00019883115892271297,0.2239967183028232,3722
module_idx,22,loss,2497,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",0.0,0.00022174685717607585,0.00024285714285714286,7.142857142857146e-06,0.0163352380952381,3.809523809523291e-05,0.0001271224754493237,7.170868347338927e-05,3722
module_idx,24,loss,22006,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.0,0.0,0.00024285714285714286,0.0,0.0163352380952381,0.0,0.0001271224754493237,0.0,3722
module_idx,26,loss,409,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.0,0.0,0.00024285714285714286,0.0,0.0163352380952381,0.0,0.0001271224754493237,0.0,3722
module_idx,28,loss,581,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",0.0,0.0,0.00024285714285714286,0.0,0.0163352380952381,0.0,0.0001271224754493237,0.0,3722
module_idx,30,loss,5512,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",0.0,0.0,0.00024285714285714286,0.0,0.0163352380952381,0.0,0.0001271224754493237,0.0,3722
module_idx,32,loss,30917,"tensor(-128., device='cuda:0')","tensor(-128., device='cuda:0')",0.0,0.0,0.00024285714285714286,0.0,0.0163352380952381,0.0,0.0001271224754493237,0.0,3722
module_idx,34,loss,6535,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",0.0,0.0,0.00024285714285714286,0.0,0.0163352380952381,0.0,0.0001271224754493237,0.0,3722
module_idx,36,loss,32258,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.0,0.0,0.00024285714285714286,0.0,0.0163352380952381,0.0,0.0001271224754493237,0.0,3722
module_idx,38,loss,5445,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.0,0.0,0.00024285714285714286,0.0,0.0163352380952381,0.0,0.0001271224754493237,0.0,3722
module_idx,40,loss,28973,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.0,0.0,0.00024285714285714286,0.0,0.0163352380952381,0.0,0.0001271224754493237,0.0,3722
module_idx,42,loss,1342,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",2.2161347524924972e-05,-2.2161347524924972e-05,0.00024285714285714286,0.0,0.01307428571428572,0.00326095238095238,0.00010412329518429258,2.299918026503112e-05,3722
module_idx,43,loss,5448,"tensor(127., device='cuda:0')","tensor(127., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,44,loss,6287,"tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,45,loss,817,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,46,loss,9845,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,47,loss,23156,"tensor(127., device='cuda:0')","tensor(127., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,48,loss,3635,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,49,loss,48565,"tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,50,loss,1552,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,51,loss,10320,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,52,loss,405,"tensor(32., device='cuda:0')","tensor(32., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,53,loss,747,"tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,54,loss,4414,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,55,loss,6346,"tensor(-17., device='cuda:0')","tensor(-17., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,56,loss,37797,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,57,loss,31617,"tensor(32., device='cuda:0')","tensor(32., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,58,loss,2160,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,59,loss,42799,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,60,loss,602,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
module_idx,61,loss,10681,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",2.2161347524924972e-05,0.0,0.00024285714285714286,0.0,0.01307428571428572,0.0,0.00010412329518429258,0.0,3722
