,PBS,RandomFlip,PBS_to_RandomFlip,RandomFlip_to_PBS
0,0.0517453156957584,0.4820069424149695,0.1359531427294947,0.0517453156957584
1,0.0,0.0,0.0,0.0
2,0.0,0.0127760187358157,0.0,0.0
3,0.0,0.2168301745574146,0.0,0.0
4,0.0,0.0,0.1599319392005267,0.4497382221545648
5,0.0,0.0092087246472331,0.0,0.0
6,0.0,0.0,5.171800697717499e-05,0.0490530074363245
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.029096323279252,0.0
9,0.0,0.0,0.0,0.0382284819038149
10,0.0,0.0,0.2689270743580852,0.0
11,0.0,0.0,0.0058641849935054,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0388989411432061,0.0
14,0.0,0.0,0.0,0.0026484547921011
15,0.0,0.0,0.1035328409246366,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,-0.0188005528949378,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0002615808078004,0.0314076058395567
